year,name,uid,pdf
2017,Head of the Kevin I,3E8CEB6B97762E663DB63586D81A9DC2,data/raw/row2k\2017_head_of_the_kevin_i.pdf
2017,Schuylkill Navy Regatta,3502B752CE35A860F048086B01BA2C24,data/raw/row2k\2017_schuylkill_navy_regatta.pdf
2017,"Greater Lawrence Rowing vs. Medford, Duxbury, Riverfront Recapture",1B96797373D4D3DBA7E49D272F80343B,
2017,"Noxontown Regatta #3 - Boys: St. Andrew's School, DE vs. Bethesda-Chevy Chase, M",334DD82370DC502BB528EC2D1870ACE8,
2017,Occoquan Sprints,B632C96273AD26ED7CBBE8FC3BBC7B80,data/raw/row2k\2017_occoquan_sprints.pdf
2017,"Bethesda-Chevy Chase Crew (BCC) BOYS vs. Gonzaga College High School (GON), Dema",80254FAE44F112B34548D5AFF7968E80,
2017,Bethesda-Chevy Chase Crew (BCC) GIRLS vs. Georgetown VIsitation,7B0691ACACDAF2E7D82B2A3852BC365F,
2018,Schuylkill Navy Run Turkey Trot,13B13BE6C5B24543A6E3BF993AAAE173,data/raw/row2k\2018_schuylkill_navy_run_turkey_trot.pdf
2018,Head of the Harbor,5401872F782B4BB9031EB9AB65ACE269,data/raw/row2k\2018_head_of_the_harbor.pdf
2018,Newport Chase,835865E9495FF937A2980F7A63AFEE9E,data/raw/row2k\2018_newport_chase.pdf
2018,Head of the Lagoon - Juniors,1DA7D753352B878B2B425ECA64C6E814,data/raw/row2k\2018_head_of_the_lagoon_juniors.pdf
2018,San Diego Fall Classic,0640FB9D3B6AC23732073B48637A7368,data/raw/row2k\2018_san_diego_fall_classic.pdf
2018,Foot/Tail of the Charles - Men's Racing,6B1A6D0795340E0B086F7AF946DBC5AF,data/raw/row2k\2018_foot_tail_of_the_charles_men_s_racing.pdf
2018,Head of the South,DF7A2D0630009526EBF819CA8C1AA470,data/raw/row2k\2018_head_of_the_south.pdf
2018,Head of the Lagoon - Collegiate & Masters,39250A9D42E6B25B5C743E2F53DC36C7,data/raw/row2k\2018_head_of_the_lagoon_collegiate_masters.pdf
2018,Foot of the Charles - Women's Racing,A1DF9DA8865B97A79734406F7B512ED6,data/raw/row2k\2018_foot_of_the_charles_women_s_racing.pdf
2018,Philadelphia Frostbite Regatta,F6192FC640FA3E2085BED24764D81781,data/raw/row2k\2018_philadelphia_frostbite_regatta.pdf
2018,Head of the Marina,FEF1A8EDE2D9CB979174155FF170FE4A,data/raw/row2k\2018_head_of_the_marina.pdf
2018,Head of the Hooch - Sunday,38624104B3739603B4E7462DBC770EEB,data/raw/row2k\2018_head_of_the_hooch_sunday.pdf
2018,Rutgers Fall Classic Regatta,75AB0CB236F10F40DB30F4D7B0EB060E,
2018,Head of the Hooch - Saturday,0779B70CF01B022D2860BC38CC731736,data/raw/row2k\2018_head_of_the_hooch_saturday.pdf
2018,Head of the River Fours,050DF4C1F56F71FB4458C1D73364E37A,data/raw/row2k\2018_head_of_the_river_fours.pdf
2018,Princeton Chase,5F9E7998721CB11853686D1BCEB39F5F,data/raw/row2k\2018_princeton_chase.pdf
2018,Head of the Schuylkill - Sunday,E81A8BC44560784BA9B2087CF1147DDC,data/raw/row2k\2018_head_of_the_schuylkill_sunday.pdf
2018,Muskie Chase,322AB99B38D3E4FA9C3002BBC1CB5899,data/raw/row2k\2018_muskie_chase.pdf
2018,Head of the American,DD1B15991BA98808582DEB0C0BCB9505,data/raw/row2k\2018_head_of_the_american.pdf
2018,Head of the Schuylkill - Saturday,D4D1DD8780CACB90B1AB105FE90530F1,data/raw/row2k\2018_head_of_the_schuylkill_saturday.pdf
2018,Head Of The Charles - Sunday,233FCC8B37ACA7D2F619CACE64C31EB4,data/raw/row2k\2018_head_of_the_charles_sunday.pdf
2018,Head of the Snake; Washington State University Men vs Gonzaga University Men,DA7CF3A3F6613981E4D418FCC3D95F95,
2018,Head Of The Charles - Saturday,C31E81543D8D123246F0B1F48AF47339,data/raw/row2k\2018_head_of_the_charles_saturday.pdf
2018,Head of the Toomey: UC Davis men,BD7A4D432F2A4DB35C8F9D842B8582DC,
2018,Head of the Niagara,233BE4EFD90C91CEC3D0F1BC5F311A15,data/raw/row2k\2018_head_of_the_niagara.pdf
2018,Head of the Estuary,C4BC5F2674894B51011A1DDBACF4C562,data/raw/row2k\2018_head_of_the_estuary.pdf
2018,American Lake Fall Classic,5B0FB00BA4A939A19CA1847A2FBF0710,data/raw/row2k\2018_american_lake_fall_classic.pdf
2018,Head of the Quinobequin,EC277DFB1642F38DFC9C554A78835B49,data/raw/row2k\2018_head_of_the_quinobequin.pdf
2018,Head of the Spokane,2ADC943151583AB7AFD6C39C240BA082,
2018,Head of the Spokane,8BFE5EFDA59C3AD16E28976CFBC6B8E2,
2018,Hadley Chase,E68C6077989AD2D49146894453E3A74E,data/raw/row2k\2018_hadley_chase.pdf
2018,Head of the Niagara Wright Regatta,6F409229496B0AADAB708911437E0C29,data/raw/row2k\2018_head_of_the_niagara_wright_regatta.pdf
2018,Head of the Pass/Tampa Fall Classic,599EC335F3B42E8A2016568272E56820,data/raw/row2k\2018_head_of_the_pass_tampa_fall_classic.pdf
2018,Grand Rapids Fall Classic,8495ABF4C0E3D250513BCA68D13947AB,data/raw/row2k\2018_grand_rapids_fall_classic.pdf
2018,Head of the Genesee - Sunday,A03950D804CD701A36C258B493F0BEE1,data/raw/row2k\2018_head_of_the_genesee_sunday.pdf
2018,Tail of the Fox Regatta,E2E05480A838699EE7CF494423B95E2D,data/raw/row2k\2018_tail_of_the_fox_regatta.pdf
2018,Head of the Christina,EA0DF06DB59C4B30BBCADE2B17A1BC31,data/raw/row2k\2018_head_of_the_christina.pdf
2018,Occoquan Challenge,7476FFEE53B58C4DB980C760A856EDF7,data/raw/row2k\2018_occoquan_challenge.pdf
2018,Head of the Ohio - Sunday,050221C9D76BE131B2663505736BFA9A,data/raw/row2k\2018_head_of_the_ohio_sunday.pdf
2018,Tail of the Lake,BEC2D45E20B62233E3BBA4BBD48B307E,data/raw/row2k\2018_tail_of_the_lake.pdf
2018,Mohawk Fall Classic Regatta,D9549330DF1D832B5DE70BCCD1EA10B5,data/raw/row2k\2018_mohawk_fall_classic_regatta.pdf
2018,"Tail Of The Housatonic - Sacred Heart; Fairfield, Iona",CE72CB4073E3BD31293CC9EDD5DA1502,
2018,Head of the Mississippi,A6555B9CC76B792160E1CF61D4A7F3B2,data/raw/row2k\2018_head_of_the_mississippi.pdf
