lon,lat,depth_m
-71.087568,42.353920,7.315
-71.088255,42.353577,7.315
-71.088551,42.353414,7.315
-71.088745,42.353406,7.315
-71.088940,42.353436,7.315
-71.089097,42.353401,7.315
-71.089390,42.353568,7.315
-71.089472,42.353775,7.315
-71.063117,42.368188,6.401
-71.062190,42.368395,6.401
-71.062336,42.368287,6.401
-71.062595,42.368301,6.401
-71.062716,42.368269,6.401
-71.062947,42.368231,6.401
-71.063956,42.368656,6.401
-71.064035,42.368773,6.401
-71.064210,42.368881,6.401
-71.062474,42.369042,6.401
-71.062765,42.369010,6.401
-71.063202,42.369077,6.401
-71.063736,42.369215,6.401
-71.064052,42.369150,6.401
-71.064440,42.369192,6.401
-71.064663,42.369088,6.401
-71.065254,42.368844,6.401
-71.065727,42.368791,6.401
-71.066261,42.368628,6.401
-71.066820,42.368302,6.401
-71.067500,42.368003,6.401
-71.068131,42.367784,6.401
-71.068495,42.367623,6.401
-71.068751,42.367351,6.401
-71.069904,42.366190,6.401
-71.070134,42.366124,6.401
-71.070523,42.368743,6.401
-71.070158,42.368586,6.401
-71.070049,42.368381,6.401
-71.070102,42.368368,6.401
-71.070532,42.368683,6.401
-71.071737,42.368960,6.401
-71.071397,42.368948,6.401
-71.071327,42.368746,6.401
-71.071457,42.368719,6.401
-71.070717,42.368924,6.401
-71.071118,42.368959,6.401
-71.071376,42.369106,6.401
-71.068953,42.367522,6.401
-71.068932,42.367693,6.401
-71.069309,42.367969,6.401
-71.069564,42.368120,6.401
-71.069357,42.368100,6.401
-71.068896,42.367939,6.401
-71.068577,42.368008,6.401
-71.068405,42.368260,6.401
-71.068252,42.368535,6.401
-71.068046,42.368638,6.401
-71.067645,42.368805,6.401
-71.066698,42.369043,6.401
-71.066359,42.368973,6.401
-71.066043,42.368987,6.401
-71.070304,42.365961,6.401
-71.070381,42.366063,6.401
-71.070256,42.366119,6.401
-71.072295,42.367568,6.401
-71.072439,42.367396,6.401
-71.072234,42.367362,6.401
-71.071597,42.367144,6.401
-71.071266,42.366738,6.401
-71.071190,42.366442,6.401
-71.071324,42.366181,6.401
-71.071491,42.366036,6.401
-71.071834,42.365701,6.401
-71.072432,42.365307,6.401
-71.072637,42.364929,6.401
-71.072828,42.364677,6.401
-71.072963,42.364413,6.401
-71.073254,42.364070,6.401
-71.073667,42.363489,6.401
-71.073682,42.363327,6.401
-71.073463,42.363191,6.401
-71.073594,42.362857,6.401
-71.073703,42.362842,6.401
-71.074128,42.363014,6.401
-71.074456,42.363011,6.401
